"title","name","vintage","type","temporal","spatial","url","modified","description","contact"
"Current Population Survey: Displaced Worker, Employee Tenure, and Occupational Mobility Supplement","cps/dwjt/jan",2024,"Microdata","2024-01/2024-01","United States","http://api.census.gov/data/2024/cps/dwjt/jan","2024-09-06 13:17:41.0","Displaced Workers: Provides data on workers who lost a job in the last 3 years due to plant closing, shift elimination, or other work-related reason. Job Tenure: Provides data that will measure an individual's tenure with his/her current employer and in his/her current occupation.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/sep",2024,"Microdata","2024-09/2024-09","United States","http://api.census.gov/data/2024/cps/basic/sep","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/oct",2024,"Microdata","2024-10/2024-10","United States","http://api.census.gov/data/2024/cps/basic/oct","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/nov",2024,"Microdata","2024-11/2024-11","United States","http://api.census.gov/data/2024/cps/basic/nov","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/may",2024,"Microdata","2024-05/2024-05","United States","http://api.census.gov/data/2024/cps/basic/may","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/mar",2024,"Microdata","2024-03/2024-03","United States","http://api.census.gov/data/2024/cps/basic/mar","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jun",2024,"Microdata","2024-06/2024-06","United States","http://api.census.gov/data/2024/cps/basic/jun","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jul",2024,"Microdata","2024-07/2024-07","United States","http://api.census.gov/data/2024/cps/basic/jul","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jan",2024,"Microdata","2024-01/2024-01","United States","http://api.census.gov/data/2024/cps/basic/jan","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/feb",2024,"Microdata","2024-02/2024-02","United States","http://api.census.gov/data/2024/cps/basic/feb","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/dec",2024,"Microdata","2024-12/2024-12","United States","http://api.census.gov/data/2024/cps/basic/dec","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/aug",2024,"Microdata","2024-08/2024-08","United States","http://api.census.gov/data/2024/cps/basic/aug","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/apr",2024,"Microdata","2024-04/2024-04","United States","http://api.census.gov/data/2024/cps/basic/apr","2024-01-11 15:35:41.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey Annual Social and Economic Supplement","cps/asec/mar",2024,"Microdata","2024-03/2024-03","United States","http://api.census.gov/data/2024/cps/asec/mar","2024-07-30 10:09:36.0","The Annual Social and Economic Supplement or March CPS supplement is the primary source of detailed information on income and work experience in the United States. Numerous publications based on this survey are issued each year by the Bureaus of Labor Statistics and Census. A public-use microdata file is available for private researchers, who also produce many academic and policy-related documents based on these data. The Annual Social and Economic Supplement is used to generate the annual Population Profile of the United States, reports on geographical mobility and educational attainment, and detailed analysis of money income and poverty status. The labor force and work experience data from this survey are used to profile the U.S. labor market and to make employment projections. To allow for the same type of in-depth analysis of hispanics, additional Hispanic sample units are added to the basic CPS sample in March each year. Additional weighting is also performed so that estimates can be made for households and families, in addition to persons.","dsd.cps@census.gov"
"2023 Survey of Income and Program Participation (SIPP)","sipp",2023,"Microdata","2023/2023","US","http://api.census.gov/data/2023/sipp","2024-08-14 11:35:19.0","SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.","census.sipp@census.gov"
"Population Estimates by Age, Sex, Race, and Hispanic Origin","pep/charv",2023,"Aggregate","2023/2023","US","http://api.census.gov/data/2023/pep/charv","2025-03-04 17:06:52.0","Annual Resident Population Estimates by Age, Sex, Race, and Hispanic Origin for the Nation, State, Metropolitan and Micropolitan Statistical Areas, Puerto Rico Commonwealth, Counties, Puerto Rico Municipios. Source: U.S. Census Bureau, Population Division. The estimates are developed from a base that incorporates decennial census data, estimates data, and Demographic Analysis estimates data (where applicable). // 'In combination' means in combination with one or more other races. The sum of the five race-in-combination groups adds to more than the total population because individuals may report more than one race. Hispanic origin is considered an ethnicity, not a race. Hispanics may be of any race. Responses of 'Some Other Race' from the decennial census are modified to be consistent with the race categories which appear in estimates input data. This contributes to differences between the population for specific race categories shown in this file versus those published from the decennial census. Current data on births, deaths, and migration are used to calculate population change since the previous decennial census. An annual time series of estimates is produced, beginning at the date of the previous census and extending to the vintage year. The vintage year refers to the final year of the time series. The reference date for all estimates is July 1, unless otherwise specified. With each new vintage of estimates, the entire estimates series is revised. Additional information, including historical and intercensal estimates, evaluation estimates, Demographic Analysis estimates, research papers, and methodology is available on the Population Estimates Program website: https://www.census.gov/programs-surveys/popest.html.","POP.PEP.API.list@census.gov"
"Planning Database Tract Level","pdb/tract",2023,"Aggregate","2023/2023","Tract","http://api.census.gov/data/2023/pdb/tract","2024-04-18 15:32:45.0","The PDB is a database of U.S. housing, demographic, socioeconomic and operational statistics based on select Decennial Census and select 5-year American Community Survey (ACS) estimates. Data are provided at the census tract level of geography. These data can be used for many purposes, including survey field operations planning.","Census.pdb.questions@census.gov"
"Planning Database Block Group Level","pdb/blockgroup",2023,"Aggregate","2023/2023","Block Group","http://api.census.gov/data/2023/pdb/blockgroup","2024-04-18 16:32:12.0","The PDB is a database of U.S. housing, demographic, socioeconomic and operational statistics based on select Decennial Census and select 5-year American Community Survey (ACS) estimates. Data are provided at the block group level of geography. These data can be used for many purposes, including survey field operations planning.","Census.pdb.questions@census.gov"
"2023 Nonemployer Statistics: Nonemployer Statistics by Legal Form of Organization and Receipts Size Class for the U.S., States, and Selected Geographies","nonemp",2023,"Aggregate","2023/2023","United States","http://api.census.gov/data/2023/nonemp","2025-03-06 14:06:22.0","Nonemployer Statistics is an annual data product that provides subnational economic data for businesses that have no paid employees and are subject to federal income tax, and have receipts of $1,000 or more ($1 or more for the Construction sector). The data consist of the number of businesses and total receipts by industry. Data are published by legal form of organization (U.S. and state only) and receipts-size class of establishments (U.S. level only).","ewd.nonemployer.statistics@census.gov"
"2023 Geography Information","geoinfo",2023,"Aggregate","2023/2023","US","http://api.census.gov/data/2023/geoinfo","2024-05-06 17:07:32.0","This dataset will provide users with all geography levels for a given year as well as longitude/latitude and area (land and water) geographic information if available.","census.data@census.gov"
"Community Resilience Estimates for Puerto Rico","crepuertorico",2023,"Aggregate","2023/2023","US","http://api.census.gov/data/2023/crepuertorico","2025-02-27 17:42:07.0","The Community Resilience Estimates for Puerto Rico track how socially vulnerable every neighborhood in Puerto Rico is to the impacts of a disaster. The Community Resilience Estimates use Puerto Rico Community Survey microdata and Population Estimates Program data to measure the ability of individuals and households to absorb the external stresses of the impacts of a disaster.","SEHSD.CRE@census.gov"
"Community Resilience Estimates","cre",2023,"Aggregate","2023/2023","US","http://api.census.gov/data/2023/cre","2024-12-03 15:39:08.0","The Community Resilience Estimates track how socially vulnerable every neighborhood in the United States is to the impacts of a disaster. The Community Resilience Estimates use American Community Survey microdata, Population Estimates Program data, and Decennial Census data to measure the ability of individuals and households to absorb the external stresses of the impacts of a disaster.","SEHSD.CRE@census.gov"
"Current Population Survey: Volunteering and Civic Life Supplement","cps/volunteer/sep",2023,"Microdata","2023-09/2023-09","United States","http://api.census.gov/data/2023/cps/volunteer/sep","2024-10-01 09:06:24.0","Information on a variety of topics that assess civic health: interactions with family, friends, neighbors; political engagement; group membership and participation; frequency of volunteering activity; and donations to political or charitable organizations.","dsd.cps@census.gov"
"Current Population Survey: Veterans Supplement","cps/vets/aug",2023,"Microdata","2023-08/2023-08","United States","http://api.census.gov/data/2023/cps/vets/aug","2023-12-05 10:24:52.0","Provides data for veterans of the United States on Vietnam-theater and Persian Gulf-theater status, service-connected income, effect of a service-connected disability on current labor force participation and participation in veterans' programs.","dsd.cps@census.gov"
"Current Population Survey: Unbanked/Underbanked Supplement","cps/unbank/jun",2023,"Microdata","2023-06/2023-06","United States","http://api.census.gov/data/2023/cps/unbank/jun","2024-06-24 09:37:04.0","To produce data on barriers faced when deciding how and where to conduct financial transactions and inform policy-makers on issues related to economic inclusion.","dsd.cps@census.gov"
"Current Population Survey: Tobacco Use Supplement","cps/tobacco/may",2023,"Microdata","2023-05/2023-05","United States","http://api.census.gov/data/2023/cps/tobacco/may","2025-03-05 09:29:29.0","To measure changes in America's use of tobacco products as well as to understand public attitudes about smoking.","dsd.cps@census.gov"
"Current Population Survey: Tobacco Use Supplement","cps/tobacco/jan",2023,"Microdata","2023-01/2023-01","United States","http://api.census.gov/data/2023/cps/tobacco/jan","2025-03-05 09:29:33.0","To measure changes in America's use of tobacco products as well as to understand public attitudes about smoking.","dsd.cps@census.gov"
"Current Population Survey: School Enrollment Supplement","cps/school/oct",2023,"Microdata","2023-10/2023-10","United States","http://api.census.gov/data/2023/cps/school/oct","2024-04-15 08:54:14.0","Provides information on population 3 years old and older on school enrollment, junior or regular college attendance, and high school graduation.","dsd.cps@census.gov"
"Current Population Survey: Computer and Internet Use Supplement","cps/internet/nov",2023,"Microdata","2023-11/2023-11","United States","http://api.census.gov/data/2023/cps/internet/nov","2024-06-03 11:49:13.0","Information on person and household broadband (high-speed Internet) use, where it is used, by what types of devices, what type of service provider, online actions performed, and other characteristics.","dsd.cps@census.gov"
"Current Population Survey: Food Security Supplement","cps/foodsec/dec",2023,"Microdata","2023-12/2023-12","United States","http://api.census.gov/data/2023/cps/foodsec/dec","2024-06-04 09:53:40.0","Provides data that will measure hunger and food security. It will provide data on food expenditure, access to food, and food quality and safety.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/sep",2023,"Microdata","2023-09/2023-09","United States","http://api.census.gov/data/2023/cps/basic/sep","2023-01-10 15:11:40.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/oct",2023,"Microdata","2023-10/2023-10","United States","http://api.census.gov/data/2023/cps/basic/oct","2023-01-10 15:11:40.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/nov",2023,"Microdata","2023-11/2023-11","United States","http://api.census.gov/data/2023/cps/basic/nov","2023-01-10 15:11:40.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/may",2023,"Microdata","2023-05/2023-05","United States","http://api.census.gov/data/2023/cps/basic/may","2023-01-10 15:11:40.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/mar",2023,"Microdata","2023-03/2023-03","United States","http://api.census.gov/data/2023/cps/basic/mar","2023-01-10 15:11:40.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jun",2023,"Microdata","2023-06/2023-06","United States","http://api.census.gov/data/2023/cps/basic/jun","2023-01-10 15:11:40.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"Current Population Survey: Basic Monthly","cps/basic/jul",2023,"Microdata","2023-07/2023-07","United States","http://api.census.gov/data/2023/cps/basic/jul","2023-01-10 15:11:40.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the  Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
