"change_date","change","title","name","vintage","type","temporal","spatial","url","modified","description","contact"
"2025-09-11 07:38","Added","ACS 1-Year Comparison Profiles","acs/acs1/cprofile",2024,"Aggregate","2024/2024","US","http://api.census.gov/data/2024/acs/acs1/cprofile","2025-02-27 18:54:37.0","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex. Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more. Comparison profiles are similar to Data profiles but also include comparisons with past-year data. The current year data are compared with each of the last four years of data and include statistical significance testing. There are over 1,000 variables in this dataset.","acso.users.support@census.gov"
"2025-09-11 07:38","Added","ACS 1-Year Detailed Tables","acs/acs1",2024,"Aggregate","2024/2024","US","http://api.census.gov/data/2024/acs/acs1","2025-02-27 18:54:51.0","The American Community Survey (ACS) is an ongoing survey that provides data every year -- giving communities the current information they need to plan investments and services. The ACS covers a broad range of topics about social, economic, demographic, and housing characteristics of the U.S. population. Much of the ACS data provided on the Census Bureau's Web site are available separately by age group, race, Hispanic origin, and sex. Summary files, Subject tables, Data profiles, and Comparison profiles are available for the nation, all 50 states, the District of Columbia, Puerto Rico, every congressional district, every metropolitan area, and all counties and places with populations of 65,000 or more. Detailed Tables contain the most detailed cross-tabulations published for areas 65k and more. The data are population counts. There are over 31,000 variables in this dataset.","acso.users.support@census.gov"
"2025-09-23 07:37","Added","2024 Survey of Income and Program Participation (SIPP)","sipp",2024,"Microdata","2024/2024","US","http://api.census.gov/data/2024/sipp","2025-05-29 13:19:12.0","SIPP is a nationally representative longitudinal survey that provides comprehensive data about the income and government program participation of individuals and households in the United States. These microdata contain demographic and social characteristic information for each sample member, as well as detailed data on labor force activity, types and amounts of income, and participation in various cash and noncash benefit programs.","census.sipp@census.gov"
"2025-11-20 15:42","Added","2023 Nonemployer Statistics by Demographics Series (NES-D): Owner Characteristics of Nonemployer Firms","absnesdo",2023,"Aggregate","2023/2023","United States","http://api.census.gov/data/2023/absnesdo","2025-07-02 09:14:23.0","The Nonemployer Statistics by Demographics (NES-D): Characteristics of Business Owners estimates provide information on selected economic and demographic characteristics of business owners tabulated by sex, ethnicity, race, and veteran status of an owner. Included in the universe are nonemployer businesses with no paid employment or payroll, annual receipts of $1,000 or more ($1 or more in the construction industries) and filing IRS tax forms for sole proprietorships (Form 1040, Schedule C), partnerships (Form 1065), or corporations (the Form 1120 series).","adep.annual.business.survey@census.gov"
"2025-11-20 15:42","Added","2023 Nonemployer Statistics by Demographics Series (NES-D): Company Summary","absnesd",2023,"Aggregate","2023/2023","United States","http://api.census.gov/data/2023/absnesd","2025-07-02 09:14:26.0","The Nonemployer Statistics by Demographics (NES-D): Company Summary estimates provide economic data classified by sex, ethnicity, race, and veteran status of nonemployer firms. The NES-D is not a survey; rather, it leverages existing administrative records to assign demographic characteristics to the universe of nonemployer businesses. The nonemployer universe is comprised of businesses with no paid employment or payroll, annual receipts of $1,000 or more ($1 or more in the construction industries), and filing IRS tax forms for sole proprietorships (Form 1040, Schedule C), partnerships (Form 1065), or corporations (the Form 1120 series). Data for all firms are also presented. These estimates are produced by combining estimates for nonemployer firms from the Nonemployer Statistics by Demographics (NESD) and employer firms from the Annual Business Survey (ABS).","adep.annual.business.survey@census.gov"
"2025-11-20 15:42","Added","2023 Annual Business Survey: Module Characteristics of Businesses","absmcb",2023,"Aggregate","2023/2023","United States","http://api.census.gov/data/2023/absmcb","2025-07-09 09:58:58.0","The Annual Business Survey (ABS) provides information on selected economic and demographic characteristics for businesses and business owners by sex, ethnicity, race, and veteran status. Further, the survey measures research and development (for microbusinesses), new business topics such as innovation and technology, as well as other business characteristics. The U.S. Census Bureau and the National Center conduct the ABS jointly for Science and Engineering Statistics within the National Science Foundation. The ABS replaces the five-year Survey of Business Owners (SBO) for employer businesses, the Annual Survey of Entrepreneurs (ASE), the Business R&D and Innovation for Microbusinesses survey (BRDI-M), and the innovation section of the Business R&D and Innovation Survey (BRDI-S). https://www.census.gov/programs-surveys/abs.html","adep.annual.business.survey@census.gov"
"2025-11-20 15:42","Added","2023 Annual Business Survey: Company Summary","abscs",2023,"Aggregate","2023/2023","United States","http://api.census.gov/data/2023/abscs","2025-07-09 09:58:47.0","The Annual Business Survey (ABS) provides information on selected economic and demographic characteristics for businesses and business owners by sex, ethnicity, race, and veteran status. Further, the survey measures research and development (for microbusinesses), new business topics such as innovation and technology, as well as other business characteristics. The U.S. Census Bureau and the National Center conduct the ABS jointly for Science and Engineering Statistics within the National Science Foundation. The ABS replaces the five-year Survey of Business Owners (SBO) for employer businesses, the Annual Survey of Entrepreneurs (ASE), the Business R&D and Innovation for Microbusinesses survey (BRDI-M), and the innovation section of the Business R&D and Innovation Survey (BRDI-S). https://www.census.gov/programs-surveys/abs.html","adep.annual.business.survey@census.gov"
"2025-11-20 15:42","Added","2023 Annual Business Survey: Characteristics of Business Owners","abscbo",2023,"Aggregate","2023/2023","United States","http://api.census.gov/data/2023/abscbo","2025-07-09 09:58:51.0","The Annual Business Survey (ABS) provides information on selected economic and demographic characteristics for businesses and business owners by sex, ethnicity, race, and veteran status. Further, the survey measures research and development (for microbusinesses), new business topics such as innovation and technology, as well as other business characteristics. The U.S. Census Bureau and the National Center conduct the ABS jointly for Science and Engineering Statistics within the National Science Foundation. The ABS replaces the five-year Survey of Business Owners (SBO) for employer businesses, the Annual Survey of Entrepreneurs (ASE), the Business R&D and Innovation for Microbusinesses survey (BRDI-M), and the innovation section of the Business R&D and Innovation Survey (BRDI-S). https://www.census.gov/programs-surveys/abs.html","adep.annual.business.survey@census.gov"
"2025-11-20 15:42","Added","2023 Annual Business Survey: Characteristics of Businesses","abscb",2023,"Aggregate","2023/2023","United States","http://api.census.gov/data/2023/abscb","2025-07-09 09:58:54.0","The Annual Business Survey (ABS) provides information on selected economic and demographic characteristics for businesses and business owners by sex, ethnicity, race, and veteran status. Further, the survey measures research and development (for microbusinesses), new business topics such as innovation and technology, as well as other business characteristics. The U.S. Census Bureau and the National Center conduct the ABS jointly for Science and Engineering Statistics within the National Science Foundation. The ABS replaces the five-year Survey of Business Owners (SBO) for employer businesses, the Annual Survey of Entrepreneurs (ASE), the Business R&D and Innovation for Microbusinesses survey (BRDI-M), and the innovation section of the Business R&D and Innovation Survey (BRDI-S). https://www.census.gov/programs-surveys/abs.html","adep.annual.business.survey@census.gov"
"2025-12-04 10:46","Added","Current Population Survey: Basic Monthly","cps/basic/sep",2025,"Microdata","2025-09/2025-09","United States","http://api.census.gov/data/2025/cps/basic/sep","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
"2025-12-04 10:46","Added","ACS 1-Year Supplemental Estimates","acs/acsse",2024,"Aggregate","2024/2024","US","http://api.census.gov/data/2024/acs/acsse","2025-08-05 11:51:03.0","The American Community Survey (ACS) is a nationwide survey designed to provide communities a fresh look at how they are changing. The ACS replaced the decennial census long form in 2010 and thereafter by collecting long form type information throughout the decade rather than only once every 10 years. Questionnaires are mailed to a sample of addresses to obtain information about households -- that is, about each person and the housing unit itself. The American Community Survey produces demographic, social, housing and economic estimates in the form of 1 and 5-year estimates based on population thresholds. The strength of the ACS is in estimating population and housing characteristics. It produces estimates for small areas, including census tracts and population subgroups. Although the ACS produces population, demographic and housing unit estimates, it is the Census Bureau's Population Estimates Program that produces and disseminates the official estimates of the population for the nation, states, counties, cities and towns, and estimates of housing units for states and counties. For 2010 and other decennial census years, the Decennial Census provides the official counts of population and housing units.","acso.users.support@census.gov"
"2025-12-04 10:46","Added","2024 American Community Survey: 1-Year Estimates - Public Use Microdata Sample Puerto Rico","acs/acs1/pumspr",2024,"Microdata","2024/2024","US","http://api.census.gov/data/2024/acs/acs1/pumspr","2025-07-30 17:19:37.0","The Public Use Microdata Sample (PUMS) for Puerto Rico (PR) contains a sample of responses to the Puerto Rico Community Survey (PRCS). The PRCS is similar to, but separate from, the American Community Survey (ACS). The PRCS collects data about the population and housing units in Puerto Rico. Puerto Rico data is not included in the national PUMS files. It is published as a state equivalent file and has a State FIPS code of ""72"". The file includes variables for nearly every question on the survey, as well as many new variables that were derived after the fact from multiple survey responses (such as poverty status). Each record in the file represents a single person, or, in the household-level dataset, a single housing unit. In the person-level file, individuals are organized into households, making possible the study of people within the contexts of their families and other household members. Individuals living in Group Quarters, such as nursing facilities or college facilities, are also included on the person file. Data are available at the state and Public Use Microdata Area (PUMA) levels. PUMAs are special non-overlapping areas that partition Puerto Rico into contiguous geographic units containing roughly 100,000 people each. The Puerto Rico PUMS file for an individual year, such as 2024, contain data on approximately one percent of the Puerto Rico population.","acso.users.support@census.gov"
"2025-12-04 10:46","Added","2024 American Community Survey: 1-Year Estimates - Public Use Microdata Sample","acs/acs1/pums",2024,"Microdata","2024/2024","US","http://api.census.gov/data/2024/acs/acs1/pums","2025-07-30 17:19:40.0","The American Community Survey (ACS) Public Use Microdata Sample (PUMS) contains a sample of responses to the ACS. The ACS PUMS dataset includes variables for nearly every question on the survey, as well as many new variables that were derived after the fact from multiple survey responses (such as poverty status). Each record in the file represents a single person, or, in the household-level dataset, a single housing unit. In the person-level file, individuals are organized into households, making possible the study of people within the contexts of their families and other household members. Individuals living in Group Quarters, such as nursing facilities or college facilities, are also included on the person file. ACS PUMS data are available at the nation, state, and Public Use Microdata Area (PUMA) levels. PUMAs are special non-overlapping areas that partition each state into contiguous geographic units containing roughly 100,000 people each. ACS PUMS files for an individual year, such as  2024, contain data on approximately one percent of the United States population.","acso.users.support@census.gov"
"2025-12-18 10:45","Added","Current Population Survey: School Enrollment Supplement","cps/school/oct",2024,"Microdata","2024-10/2024-10","US","http://api.census.gov/data/2024/cps/school/oct","2025-06-18 14:08:27.0","Provides information on population 3 years old and older on school enrollment, junior or regular college attendance, and high school graduation.","dsd.cps@census.gov"
"2025-12-18 10:45","Added","Economic Census: Construction: Value of Construction Work for Location of Construction Work for U.S. and States: 2022","ecnvalcon",2022,"Aggregate","2022/2022","United States","http://api.census.gov/data/2022/ecnvalcon","2025-02-13 08:58:25.0","This dataset presents statistics for Construction: Value of Construction Work for Location of Construction Work for U.S. and States","ewd.outreach@census.gov"
"2025-12-18 10:45","Added","Economic Census: Value of Business Done for Kind-of-Business for the U.S., Regions, and States: 2022","ecnkob",2022,"Aggregate","2022/2022","United States","http://api.census.gov/data/2022/ecnkob","2025-02-13 08:58:22.0","This dataset presents statistics for Construction: Value of Business Done for Kind-of-Business for the U.S., Regions, and States.","ewd.outreach@census.gov"
"2025-12-23 10:43","Added","Current Population Survey: Basic Monthly","cps/basic/nov",2025,"Microdata","2025-11/2025-11","United States","http://api.census.gov/data/2025/cps/basic/nov","2025-01-21 11:17:15.0","To provide estimates of employment, unemployment, and other characteristics of the general labor force, of the population as a whole, and of various subgroups of the population. Monthly labor force data for the country are used by the Bureau of Labor Statistics (BLS) to determine the distribution of funds under the Job Training Partnership Act. These data are collected through combined computer-assisted personal interviewing (CAPI) and computer-assisted telephone interviewing (CATI). In addition to the labor force data, the CPS basic funding provides annual data on work experience, income, health insurance, and migration data from the Annual Social and Economic Supplement (ASEC), and on school enrollment of the population from the October Supplement. Other supplements, some of which are sponsored by other agencies, are conducted biennially or intermittently.","dsd.cps@census.gov"
